"Elfcraft - Match and crush 3 Stones","Casual","Tivola","https://play.google.com/store/apps/dev?id=8927372468482477196","4.2","43","4","1","6","5","27"
"Moto Highway Rider","Racing","TerranDroid","https://play.google.com/store/apps/developer?id=TerranDroid","4.4","721","46","6","69","97","503"
"Tractor Driving in Farm – Extreme Transport Games","Simulation","Step Up Game Studios","https://play.google.com/store/apps/dev?id=5286320531054919482","4.4","84","7","2","3","7","65"
"Diner Match 3","Adventure","Free Bubble Shooter Games","https://play.google.com/store/apps/developer?id=Free+Bubble+Shooter+Games","4.5","43","1","0","6","6","30"
"Motorbike Stunt Master 2018","Simulation","Gameza Inc","https://play.google.com/store/apps/developer?id=Gameza+Inc","4.2","92","13","4","2","7","66"
"Airplane Hijack: Rescue Mission","Action","Standard Games Studios","https://play.google.com/store/apps/developer?id=Standard+Games+Studios","4.2","168","21","5","10","14","118"
"Bike Super Hero Stunt Driver Racing","Simulation","Best Fun Games Racing Simulators","https://play.google.com/store/apps/developer?id=Best+Fun+Games+Racing+Simulators","4.4","54","5","1","3","6","39"
"Forklift Games: Rear Wheels Forklift Driving","Simulation","Zact Studio Games","https://play.google.com/store/apps/dev?id=7326943805560551330","4.4","83","8","2","5","4","64"
"Fruit Pop Tap Cube","Casual","Global Interactive","https://play.google.com/store/apps/developer?id=Global+Interactive","4.4","192","9","5","17","21","140"
"Grand Street Vegas Mafia Crime : Fight To Survive","Action","Freydaso","https://play.google.com/store/apps/developer?id=Freydaso","4.4","912","88","16","54","81","673"
"❄ College Girls Princess Makeup Dress up Game ❤","Simulation","Dzen90","https://play.google.com/store/apps/developer?id=Dzen90","4.5","613","38","6","45","56","468"
"Super Car 3D Adventure Parking","Simulation","Scomz","https://play.google.com/store/apps/developer?id=Scomz","4.4","57","3","3","4","4","43"
"Luxury Prado: Offroad 4X4","Simulation","Abacus Gamers","https://play.google.com/store/apps/developer?id=Abacus+Gamers","4.5","35","3","0","0","6","26"
"Jigsaw Puzzles Free Game OFFLINE, Picture Puzzle","Puzzle","Cris Resh","https://play.google.com/store/apps/developer?id=Cris+Resh","4.4","615","51","10","35","57","462"
"Stickman Fight: The Game","Action","JDI Game Studio","https://play.google.com/store/apps/dev?id=5660622683758606290","4.5","5975","581","59","193","335","4807"
"Best Tekken 3 Trick","Action","Kamflo","https://play.google.com/store/apps/developer?id=Kamflo","4.1","29","5","0","2","1","21"
"Ludo Arena - Royal King","Board","Ciaolink Apps","https://play.google.com/store/apps/developer?id=Ciaolink+Apps","4.9","500","11","1","5","12","471"
"Village Road Construction Builder: Build Highway","Casual","Smile Stones Studio","https://play.google.com/store/apps/developer?id=Smile+Stones+Studio","4.4","29","3","0","2","2","22"
"Dinosaur Hunt 2018","Action","Best Free Games Ltd","https://play.google.com/store/apps/developer?id=Best+Free+Games+Ltd","4.5","89","6","1","4","10","68"
"Animal Hunting 2: Jeep Drive Simulator","Action","Logic Rack","https://play.google.com/store/apps/developer?id=Logic+Rack","4.0","45","7","3","1","6","28"
"Final Hunter: Wild Animal Hunting🐎","Action","shootergameball","https://play.google.com/store/apps/developer?id=shootergameball","4.5","579","35","11","25","49","459"
"Death Road 3 : Desperate Racing","Adventure","Love Free Shooting Games - FPS","https://play.google.com/store/apps/developer?id=Love+Free+Shooting+Games+-+FPS","4.1","573","67","22","54","52","378"
"Rajasthani Wedding - Indian Arranged Marriage","Casual","Increase Mind Games","https://play.google.com/store/apps/developer?id=Increase+Mind+Games","4.5","95","5","2","7","6","75"
"Air Force Jet Fighter Combat 3d","Action","Idle Vision","https://play.google.com/store/apps/developer?id=Idle+Vision","3.5","93","30","3","4","3","53"
"Fire Truck Driving Rescue 911 Fire Engine Games","Simulation","Roadster Inc - 3D Games Action & Simulation","https://play.google.com/store/apps/developer?id=Roadster+Inc+-+3D+Games+Action+%26+Simulation","4.2","35","6","1","0","0","28"
"Tricky bike new crazy stunt dead mission","Simulation","Swat Action Games","https://play.google.com/store/apps/developer?id=Swat+Action+Games","4.2","87","8","4","6","10","59"
"US Prisoner Police Bus: Bus Games","Simulation","Gamers Hive","https://play.google.com/store/apps/developer?id=Gamers+Hive","4.5","44","2","1","3","3","35"
"Dragon Warriors: Ball Z","Action","Table Blue","https://play.google.com/store/apps/developer?id=Table+Blue","4.5","2395","153","30","116","230","1866"
"Snake Crash 2: Snake Rush","Arcade","Poker Power","https://play.google.com/store/apps/developer?id=Poker+Power","4.2","546","68","13","34","51","380"
"Gorilla Smash City Big Foot Monster Rampage","Action","Machine Dreams Inc","https://play.google.com/store/apps/dev?id=8766811091380713707","4.2","47","6","3","1","3","34"
"Grand Monster Truck Simulator Drive","Simulation","Gamors","https://play.google.com/store/apps/developer?id=Gamors","4.3","188","16","3","19","28","122"
"Train Driving Simulator: Train Games 2018","Simulation","play.io","https://play.google.com/store/apps/developer?id=play.io","4.4","106","11","0","7","7","81"
"Telolet Bus Simulator 2018 - Top Coach Bus Driving","Simulation","Gaming Stars Inc","https://play.google.com/store/apps/developer?id=Gaming+Stars+Inc","4.0","22","3","1","3","2","13"
"Euro Truck Simulator vs USA Truck","Simulation","Trend Gaming Zone","https://play.google.com/store/apps/developer?id=Trend+Gaming+Zone","4.1","113","22","1","2","9","79"
"Water Slide Car Stunt Race","Simulation","Gamers Bell","https://play.google.com/store/apps/developer?id=Gamers+Bell","4.5","15","2","0","0","0","13"
"KBC 2018","Educational","Crorepati India : Biggest Hindi GK Quiz 2018","https://play.google.com/store/apps/developer?id=Crorepati+India+:+Biggest+Hindi+GK+Quiz+2018","4.4","56","5","4","0","3","44"
"Toys Pop","Puzzle","MadOverGames","https://play.google.com/store/apps/dev?id=7022253202210463993","4.8","989","9","1","43","111","825"
"Garden Farm Legend","Casual","Cosmo Game","https://play.google.com/store/apps/developer?id=Cosmo+Game","4.6","228","3","0","15","45","165"
"KBC in Hindi 2018 : India General Knowledge","Educational","Crorepati India : Biggest Hindi GK Quiz 2018","https://play.google.com/store/apps/developer?id=Crorepati+India+:+Biggest+Hindi+GK+Quiz+2018","4.9","30","0","0","1","2","27"
"My Dream Spa Beauty Salon : Hair Saloon","Casual","GameiMake","https://play.google.com/store/apps/developer?id=GameiMake","4.4","94","11","1","2","10","70"
"Superhero Fighting Games 3D - War of Infinity Gods","Action","Next Action Games","https://play.google.com/store/apps/developer?id=Next+Action+Games","4.5","86","6","1","4","6","69"
"Ludo (original) : Star 2017 : Ludo star king","Board","Whiteberry Apps","https://play.google.com/store/apps/developer?id=Whiteberry+Apps","3.6","458","145","5","21","23","264"
"US Police Parking: Car Games","Simulation","Gaming Globe Inc.","https://play.google.com/store/apps/dev?id=8310920612688764575","4.5","48","5","0","1","1","41"
"Modern Bus Simulator 3d: Bus Driving Games 2018","Simulation","Desire PK","https://play.google.com/store/apps/dev?id=4687045479860634476","4.1","52","8","1","4","5","34"
"Indian Train Oil Tanker Uphill Train Simulator","Simulation","Roadster Inc - 3D Games Action & Simulation","https://play.google.com/store/apps/developer?id=Roadster+Inc+-+3D+Games+Action+%26+Simulation","4.1","54","10","1","2","4","37"
"Highway City Traffic Racing Game","Simulation","Super Trending Games","https://play.google.com/store/apps/developer?id=Super+Trending+Games","4.3","87","6","2","10","14","55"
"Street Ice Cream Shop - Summer Beach Carnival","Educational","Family Kids Games","https://play.google.com/store/apps/developer?id=Family+Kids+Games","4.6","65","4","0","2","4","55"
"Mortal Superhero Kombat gods Ring Battle Arena","Action","Superhero Fighting Games","https://play.google.com/store/apps/developer?id=Superhero+Fighting+Games","4.4","79","6","1","9","4","59"
"Street Racing in Car Simulator 2018 - Car Racer","Simulation","Crazy Gaming Studio","https://play.google.com/store/apps/developer?id=Crazy+Gaming+Studio","4.7","61","0","2","5","5","49"
"Billionaire Dad Luxury Life Real Family Games","Adventure","New Age Gamers","https://play.google.com/store/apps/developer?id=New+Age+Gamers","4.0","114","21","1","8","6","78"
"Cooking Blast","Casual","Bubble Shooter Artworks","https://play.google.com/store/apps/developer?id=Bubble+Shooter+Artworks","4.6","37","1","0","5","2","29"
"Jungle Hill Racing","Casual","marble.lab","https://play.google.com/store/apps/developer?id=marble.lab","4.5","129","8","2","9","9","101"
"Train Driving Super Simulator","Simulation","Volcano Gaming Studio","https://play.google.com/store/apps/developer?id=Volcano+Gaming+Studio","4.6","44","3","1","0","4","36"
"Uphill Off Road Bus City Coach Bus Simulator 2018","Simulation","Haxinator","https://play.google.com/store/apps/developer?id=Haxinator","4.4","70","6","0","5","6","53"
"Sweet Baby Daily Fun Activities","Educational","DeduToons","https://play.google.com/store/apps/developer?id=DeduToons","4.4","56","5","1","1","10","39"
"Tricky Bike Stunt Master Crazy Stuntman Bike Rider","Simulation","Jhatka Gamers","https://play.google.com/store/apps/developer?id=Jhatka+Gamers","4.6","53","3","1","2","1","46"
"Racing Rocket : Parkour Rivals","Racing","Rooster Games","https://play.google.com/store/apps/dev?id=7301927668178768809","4.5","127","8","0","9","11","99"
"super Subway : Train Surf run fun 3D","Racing","Swift runner","https://play.google.com/store/apps/developer?id=Swift+runner","4.6","25","1","0","1","5","18"
"US Army Truck Simulator","Simulation","Tap - Free Games","https://play.google.com/store/apps/developer?id=Tap+-+Free+Games","4.5","38","2","0","3","4","29"
"Robot Dolphin Transform Submarine: Army Robot Game","Simulation","Warm Milk Productions","https://play.google.com/store/apps/developer?id=Warm+Milk+Productions","4.7","31","2","0","0","1","28"
"Offroad Bus Transport Simulator","Simulation","Racing Games Android","https://play.google.com/store/apps/developer?id=Racing+Games+Android","4.4","62","6","2","3","4","47"
"Modern Flying Car Limousine Taxi Simulator Games","Simulation","Great Games Studio","https://play.google.com/store/apps/developer?id=Great+Games+Studio","3.9","16","2","1","3","0","10"
"Barber Shop Hair Salon Beard Hair Cutting Games 2","Casual","Crazy Games Lab","https://play.google.com/store/apps/dev?id=7174351842942600674","3.5","248","73","8","18","19","130"
"Pokemoon fire red version - Free GBA Classic Game","Strategy","dragonalphadev","https://play.google.com/store/apps/developer?id=dragonalphadev","4.6","506","31","5","16","39","415"
"Fast Food Stand - Fried Food Cooking Game","Educational","Junior Games Studio","https://play.google.com/store/apps/developer?id=Junior+Games+Studio","4.2","85","9","2","10","2","62"
"Shoot Bubbles","Casual","Free Bubble Shooter Games","https://play.google.com/store/apps/developer?id=Free+Bubble+Shooter+Games","4.6","149","5","2","10","18","114"
"US Train Hijack Rescue Ops Simulator","Action","Gamy Interactive","https://play.google.com/store/apps/dev?id=6808269291574978393","4.4","42","4","1","2","1","34"
"Stickman jailbreak 2018","Adventure","Starodymov","https://play.google.com/store/apps/developer?id=Starodymov","4.0","806","145","18","44","67","532"
"Desert Train Escape","Adventure","Games2Jolly","https://play.google.com/store/apps/dev?id=8827393609830729715","4.4","188","9","5","13","41","120"
"River Bridge Builds Construction: Free games","Simulation","Gaming Globe Inc.","https://play.google.com/store/apps/dev?id=8310920612688764575","4.3","109","11","2","12","7","77"
"Ball Balance Neon","Adventure","LM Inc","https://play.google.com/store/apps/developer?id=LM+Inc","4.5","114","5","1","8","17","83"
"City Police MotorBike 3D Driving Simulator","Simulation","Best Free Games.","https://play.google.com/store/apps/developer?id=Best+Free+Games.","4.0","40","6","3","2","2","27"
"Real Craft: City Builder","Adventure","Craft Apps Game Studio","https://play.google.com/store/apps/dev?id=8346296054173661689","4.2","825","99","16","72","68","570"
"FPS Action Doctrine: Free Action Games","Action","Gamers Hive","https://play.google.com/store/apps/developer?id=Gamers+Hive","4.4","177","13","3","11","20","130"
"Cooking cake bakery shop","Casual","LPRA STUDIO","https://play.google.com/store/apps/developer?id=LPRA+STUDIO","4.3","74","6","2","5","11","50"
"🎯 Stickman Archers: Archery Rampage","Arcade","Bazon","https://play.google.com/store/apps/developer?id=Bazon","4.4","4151","293","56","258","510","3034"
"US Army Transport Game – Cargo Plane & Army Tanks","Simulation","Crazy Neuron Studio","https://play.google.com/store/apps/developer?id=Crazy+Neuron+Studio","4.6","44","3","1","0","2","38"
"Endless Street Runner","Arcade","AbsoLogix - 3D Games Studio","https://play.google.com/store/apps/developer?id=AbsoLogix+-+3D+Games+Studio","4.4","77","9","0","2","7","59"
"Subway Surf Train Fun Ultimate","Adventure","Mirza app","https://play.google.com/store/apps/developer?id=Mirza+app","4.4","14","1","0","2","1","10"
"Blaze Race The Skytrack","Racing","JOSEASTUR","https://play.google.com/store/apps/developer?id=JOSEASTUR","4.5","31","3","0","2","1","25"
"Mountain Sniper Shooter Elite Assassin","Action","Mini Studio","https://play.google.com/store/apps/developer?id=Mini+Studio","4.3","198","20","5","10","19","144"
"Heavy Coach Bus Simulation Game","Simulation","Gamrizer","https://play.google.com/store/apps/developer?id=Gamrizer","4.3","51","5","0","5","4","37"
"Pirate Quest Booty Match","Puzzle","Global Interactive","https://play.google.com/store/apps/developer?id=Global+Interactive","4.5","81","4","0","9","9","59"
"Cookie Match Fever","Casual","Funcell  Entertainment","https://play.google.com/store/apps/developer?id=Funcell++Entertainment","4.4","23","1","1","1","4","16"
"Indian Airplane Traveller","Simulation","Broship Survival Gaming Studio Free Simulator Game","https://play.google.com/store/apps/developer?id=Broship+Survival+Gaming+Studio+Free+Simulator+Game","3.9","30","7","1","0","1","21"
