"Intergalactic Zoo","Arcade","RTK3 Games","https://play.google.com/store/apps/developer?id=RTK3+Games","5.0","2","0","0","0","0","2"
"10 Second Run","Action","G-MODE Corporation","https://play.google.com/store/apps/developer?id=G-MODE+Corporation","0","0",0,0,0,0,0
"Sudoku Master - No Ads","Word","DotFinger Games","https://play.google.com/store/apps/developer?id=DotFinger+Games","0","0",0,0,0,0,0
"Chinese Chess, Xiangqi (Professional Edition)","Board","FREEDOM RABBITS","https://play.google.com/store/apps/developer?id=FREEDOM+RABBITS","5.0","1","0","0","0","0","1"
"AudioBat","Casual","i am kool LLC","https://play.google.com/store/apps/developer?id=i+am+kool+LLC","5.0","2","0","0","0","0","2"
"Dragon Fighter: Ball Z","Action","Lock Work Fun","https://play.google.com/store/apps/developer?id=Lock+Work+Fun","0","0",0,0,0,0,0
"Escape from the escape-game","Adventure","sweet ampoule","https://play.google.com/store/apps/dev?id=6532670736548376985","0","0",0,0,0,0,0
"SelBet Sport Predictions Pro","Sports","Selbet Pronostics","https://play.google.com/store/apps/developer?id=Selbet+Pronostics","5.0","1","0","0","0","0","1"
"Batocha.matematika1h","Educational","chaxmatmark","https://play.google.com/store/apps/dev?id=5953543818213536813","5.0","2","0","0","0","0","2"
"Children Puzzle PRO","Puzzle","Game Brain","https://play.google.com/store/apps/developer?id=Game+Brain","0","0",0,0,0,0,0
"Starbear: Taxi","Arcade","Funktronic Labs","https://play.google.com/store/apps/dev?id=6147240206836031539","0","0",0,0,0,0,0
"Real Roulette Analyzer App","Casino","Pedro Padilha","https://play.google.com/store/apps/developer?id=Pedro+Padilha","5.0","1","0","0","0","0","1"
"Zombie City Attack","Arcade","CODEJAX Studios","https://play.google.com/store/apps/developer?id=CODEJAX+Studios","5.0","4","0","0","0","0","4"
"숨은그림찾기","Puzzle","SOFTCLASSY","https://play.google.com/store/apps/developer?id=SOFTCLASSY","0","0",0,0,0,0,0
"Rise Of The Fallen","Action","PIXELPIMPS CORP.","https://play.google.com/store/apps/developer?id=PIXELPIMPS+CORP.","4.9","7","0","0","0","1","6"
"Underdeck Spanish","Card","UnderDeck","https://play.google.com/store/apps/developer?id=UnderDeck","5.0","3","0","0","0","0","3"
"Pianissimo","Music","Cleopatra Design","https://play.google.com/store/apps/developer?id=Cleopatra+Design","5.0","4","0","0","0","0","4"
"슬픈 가족사 - 산장으로부터의 탈출","Adventure","C's earth","https://play.google.com/store/apps/dev?id=7096891596808847496","5.0","4","0","0","0","0","4"
"Funny-Heroes","Arcade","Planlos Studios","https://play.google.com/store/apps/developer?id=Planlos+Studios","5.0","1","0","0","0","0","1"
"Mi Mascota Accesible Full","Simulation","Fabián Arias","https://play.google.com/store/apps/developer?id=Fabi%C3%A1n+Arias","5.0","2","0","0","0","0","2"
"Smalltalk Portugal","Trivia","SmalltalkPortugal","https://play.google.com/store/apps/developer?id=SmalltalkPortugal","5.0","5","0","0","0","0","5"
"GoBotix","Puzzle","SZ Interactive","https://play.google.com/store/apps/dev?id=8176618143157769635","5.0","6","0","0","0","0","6"
"Art Heist, White Hat","Puzzle","Critical Gameplay","https://play.google.com/store/apps/developer?id=Critical+Gameplay","0","0",0,0,0,0,0
"Sea of memories","Puzzle","Ivanovich Games","https://play.google.com/store/apps/dev?id=8214387226544464743","0","0",0,0,0,0,0
"Tunnel Run","Arcade","Happy Taro Games","https://play.google.com/store/apps/developer?id=Happy+Taro+Games","0","0",0,0,0,0,0
"Powder & Iron: Napoleonic Wars FULL","Strategy","John Amarante","https://play.google.com/store/apps/developer?id=John+Amarante","0","0",0,0,0,0,0
"Be Zero","Puzzle","Xi You Di Wang","https://play.google.com/store/apps/developer?id=Xi+You+Di+Wang","0","0",0,0,0,0,0
"Balthazar and The Mad King","Adventure","Cochlea Team","https://play.google.com/store/apps/developer?id=Cochlea+Team","3.7","3","1","0","0","0","2"
"Into the Realm: Turn based RPG","Role Playing","Flying Banana Productions","https://play.google.com/store/apps/developer?id=Flying+Banana+Productions","5.0","7","0","0","0","0","7"
"Biscuit Tapper","Arcade","Humayun GameCons","https://play.google.com/store/apps/developer?id=Humayun+GameCons","0","0",0,0,0,0,0
