Name,Genre,Developer,dev_link,rating,total,five,four,three,two,one
Millionaire Wedding - Lucky Bride Dress Up,Casual,Games For Girls,https://play.google.com/store/apps/developer?id=Games+For+Girls,4.3,904,76,20,62,111,635
"Google Tasks: Any Task, Any Goal. Get Things Done",Productivity,Google LLC,https://play.google.com/store/apps/dev?id=5700313618786177705,3.4,5708,751,824,1313,841,1979
3D Neon Hologram Keyboard,Personalization,Real 3D Keyboard Theme,https://play.google.com/store/apps/developer?id=Real+3D+Keyboard+Theme,4.7,7896,83,43,382,1040,6348
US Prison Transport: Police Bus Driving,Simulation,Tap - Free Games,https://play.google.com/store/apps/developer?id=Tap+-+Free+Games,3.8,207,45,7,21,14,120
Firefighter Rescue Simulator 3D,Simulation,spiritapps,https://play.google.com/store/apps/developer?id=spiritapps,4.3,204,27,6,3,14,154
Ramadan Timetable,Lifestyle,Juned Khatri,https://play.google.com/store/apps/developer?id=Juned+Khatri,4.9,766,4,6,14,39,703
Makeup Game: Sery Bride,Casual,Dolly Dress up,https://play.google.com/store/apps/developer?id=Dolly+Dress+up,4.3,378,40,8,25,34,271
Fancy Text Keyboard,Personalization,DoMobile Lab,https://play.google.com/store/apps/dev?id=8013309201265156122,4.5,201,12,2,14,14,159
Monster Superhero Sea Survival: Prison Escape Game,Action,Tekbash,https://play.google.com/store/apps/dev?id=6680115612213221010,4.7,55,3,0,1,2,49
Taptap Heroes,Role Playing,Ajoy Lab Games,https://play.google.com/store/apps/dev?id=8856613848700732378,4.3,610,75,2,24,62,447
Solo Superhero in Night City Battleground,Simulation,Pocket King Games,https://play.google.com/store/apps/developer?id=Pocket+King+Games,4.1,95,12,5,7,5,66
Wedding Fiasco - The Race for the Perfect Dress,Role Playing,TabTale,https://play.google.com/store/apps/dev?id=5735447750101420287,4.5,958,54,16,58,94,736
Super Hero Bike Mega Ramp,Racing,MTS Free Games,https://play.google.com/store/apps/developer?id=MTS+Free+Games,4.5,83,6,1,6,4,66
